Fecha, Hora,Estado_general, Estado_detallado, Valor de Prediccion
2024-10-04,01:49:08,Estable,Estable,0.45235676
2024-10-04,01:49:08,Estable,Estable,0.4862222
2024-10-04,01:49:08,Estable,Estable,0.4460568
2024-10-04,01:49:08,Estable,Estable,0.4893573
2024-10-04,01:49:08,Estable,Estable,0.46253872
2024-10-04,01:49:08,Estable,Estable,0.49920213
2024-10-04,01:49:08,Estable,Estable,0.4216528
2024-10-04,01:49:08,Estable,Estable,0.46660674
2024-10-04,01:49:09,Estable,Estable,0.4286857
2024-10-04,01:49:09,Estable,Estable,0.4859423
2024-10-04,01:49:09,Estable,Estable,0.43048385
2024-10-04,01:49:09,Estable,Estable,0.47358605
2024-10-04,01:49:09,Estable,Estable,0.4173527
2024-10-04,01:49:09,Estable,Estable,0.46287838
2024-10-04,01:49:09,Estable,Estable,0.45242405
2024-10-04,01:49:09,Estable,Estable,0.4696881
2024-10-04,01:49:09,Estable,Estable,0.46581492
2024-10-04,01:49:09,Estable,Estable,0.4540681
2024-10-04,01:49:10,Estable,Estable,0.4721006
2024-10-04,01:49:10,Estable,Estable,0.4440048
2024-10-04,01:49:10,Estable,Estable,0.48607117
2024-10-04,01:49:10,Estable,Estable,0.44721282
2024-10-04,01:49:10,Inestable,Inestabilidad leve,0.50677407
2024-10-04,01:49:10,Estable,Estable,0.44028696
2024-10-04,01:49:10,Inestable,Inestabilidad leve,0.53853256
2024-10-04,01:49:10,Inestable,Inestabilidad leve,0.5028831
2024-10-04,01:49:10,Inestable,Inestabilidad leve,0.5397622
2024-10-04,01:49:10,Inestable,Inestabilidad leve,0.54432845
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.5861007
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.5834402
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.607957
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.5815202
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.60780597
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.608803
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.5849582
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.59656346
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.5614358
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.57831514
2024-10-04,01:49:11,Inestable,Inestabilidad leve,0.575248
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.590614
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.58535856
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.60564786
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.62913585
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.6116467
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.6379085
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.5886896
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.63608646
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.63160264
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.64205045
2024-10-04,01:49:12,Inestable,Inestabilidad leve,0.63818383
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.6349305
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.6155345
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.6234863
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.60187733
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.6128279
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.605128
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.60601914
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.60468537
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.62997687
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.6171886
2024-10-04,01:49:13,Inestable,Inestabilidad leve,0.64529824
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.62924016
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.6337964
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.63542557
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.6389915
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.64222467
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.65165585
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.6459078
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.64456505
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.64662546
2024-10-04,01:49:14,Inestable,Inestabilidad leve,0.6548412
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6452593
