Fecha y Hora,Estado,Valor de Predicción
2024-09-30 03:11:16,Inestable,0.67402375
2024-09-30 03:11:16,Inestable,0.6772851
2024-09-30 03:11:16,Inestable,0.66607535
2024-09-30 03:11:16,Inestable,0.67285395
2024-09-30 03:11:16,Estable,0.48959535
2024-09-30 03:11:16,Inestable,0.50116324
2024-09-30 03:11:16,Estable,0.441015
2024-09-30 03:11:16,Estable,0.4650627
2024-09-30 03:11:16,Estable,0.4709704
2024-09-30 03:11:16,Estable,0.46977523
2024-09-30 03:11:16,Estable,0.4726696
2024-09-30 03:11:16,Estable,0.46747166
2024-09-30 03:11:16,Estable,0.4667096
2024-09-30 03:11:17,Estable,0.45217407
2024-09-30 03:11:17,Estable,0.44909167
2024-09-30 03:11:17,Estable,0.456746
2024-09-30 03:11:17,Estable,0.45445472
2024-09-30 03:11:17,Estable,0.45405778
2024-09-30 03:11:17,Estable,0.45680675
2024-09-30 03:11:17,Estable,0.46060157
2024-09-30 03:11:17,Estable,0.45612776
2024-09-30 03:11:17,Estable,0.45586902
2024-09-30 03:11:17,Estable,0.46716103
2024-09-30 03:11:17,Estable,0.47664973
2024-09-30 03:11:17,Estable,0.47238508
2024-09-30 03:11:17,Estable,0.47417346
2024-09-30 03:11:17,Estable,0.4704809
2024-09-30 03:11:17,Estable,0.44525728
2024-09-30 03:11:17,Estable,0.46476385
2024-09-30 03:11:17,Estable,0.46154502
2024-09-30 03:11:17,Estable,0.45294055
2024-09-30 03:11:18,Estable,0.45943502
2024-09-30 03:11:18,Estable,0.45703176
2024-09-30 03:11:18,Estable,0.4553914
2024-09-30 03:11:18,Estable,0.45812866
2024-09-30 03:11:18,Estable,0.46984917
2024-09-30 03:11:18,Estable,0.46147338
2024-09-30 03:11:18,Estable,0.48452315
2024-09-30 03:11:18,Estable,0.47348112
2024-09-30 03:11:18,Estable,0.48090369
2024-09-30 03:11:18,Estable,0.4915479
2024-09-30 03:11:18,Estable,0.4939782
2024-09-30 03:11:18,Estable,0.47483212
2024-09-30 03:11:18,Estable,0.47074884
2024-09-30 03:11:18,Estable,0.46348226
2024-09-30 03:11:18,Estable,0.45872626
2024-09-30 03:11:18,Estable,0.45298803
2024-09-30 03:11:18,Estable,0.45145977
2024-09-30 03:11:18,Estable,0.4657673
2024-09-30 03:11:18,Inestable,0.546799
2024-09-30 03:11:19,Inestable,0.5596333
2024-09-30 03:11:19,Inestable,0.56420594
2024-09-30 03:11:19,Inestable,0.56356907
2024-09-30 03:11:19,Inestable,0.54429877
2024-09-30 03:11:19,Inestable,0.544273
2024-09-30 03:11:19,Inestable,0.5437119
2024-09-30 03:11:19,Inestable,0.52444756
2024-09-30 03:11:19,Inestable,0.52141666
